vac_id,cate_id
synflorix-vac-xin-phong-viem-nao-viem-phoi-nhiem-khuan-huyet-viem-tai-giua-h-influenzae-khong-dinh-tuyp,35
vaxigrip-tetra,35
infanrix-vac-xin-6-trong-1,35
pentaxim-vac-xin-5-trong-1,35
heberbiovac-hb,35
vac-xin-rotarix,35
vac-xin-rotateq,35
rotavin-m1-vac-xin-phong-benh-tieu-chay-cap-rotavirus,35
va-mengoc-bc-vac-xin-phong-viem-mang-nao-nao-mo-cau-b-c,35
gcflu-quadrivalent,35
vac-xin-5-trong-1-infanrix-ipv-hib,35
engerix-b-vac-xin-phong-viem-gan-b,35
vac-xin-euvax-b,35
